eval_type,method,window_size,stride_value,stride_type,output_dir,success,error
eval_by_0.05,word_eval,0.3,0.125,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.3s\stride_0.125s,True,
eval_by_0.05,word_eval,0.3,0.15,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.3s\stride_0.15s,True,
eval_by_0.05,word_eval,0.3,0.25,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.3s\stride_0.25s,True,
eval_by_0.05,word_eval,0.3,0.2,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.3s\stride_0.2s,True,
eval_by_0.05,word_eval,0.3,0.3,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.3s\stride_0.3s,True,
eval_by_0.05,word_eval,0.4,0.25,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.4s\stride_0.25s,True,
eval_by_0.05,word_eval,0.4,0.2,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.4s\stride_0.2s,True,
eval_by_0.05,word_eval,0.4,0.35,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.4s\stride_0.35s,True,
eval_by_0.05,word_eval,0.4,0.3,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.4s\stride_0.3s,True,
eval_by_0.05,word_eval,0.4,0.4,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.4s\stride_0.4s,True,
eval_by_0.05,word_eval,0.5,0.25,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.5s\stride_0.25s,True,
eval_by_0.05,word_eval,0.5,0.35,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.5s\stride_0.35s,True,
eval_by_0.05,word_eval,0.5,0.3,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.5s\stride_0.3s,True,
eval_by_0.05,word_eval,0.5,0.45,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.5s\stride_0.45s,True,
eval_by_0.05,word_eval,0.5,0.4,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.5s\stride_0.4s,True,
eval_by_0.05,word_eval,0.5,0.5,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.5s\stride_0.5s,True,
eval_by_0.05,word_eval,0.6,0.35,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.6s\stride_0.35s,True,
eval_by_0.05,word_eval,0.6,0.3,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.6s\stride_0.3s,True,
eval_by_0.05,word_eval,0.6,0.45,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.6s\stride_0.45s,True,
eval_by_0.05,word_eval,0.6,0.4,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.6s\stride_0.4s,True,
eval_by_0.05,word_eval,0.6,0.55,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.6s\stride_0.55s,True,
eval_by_0.05,word_eval,0.6,0.5,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.6s\stride_0.5s,True,
eval_by_0.05,word_eval,0.6,0.6,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.6s\stride_0.6s,True,
eval_by_0.05,word_eval,0.7,0.35,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.7s\stride_0.35s,True,
eval_by_0.05,word_eval,0.7,0.45,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.7s\stride_0.45s,True,
eval_by_0.05,word_eval,0.7,0.4,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.7s\stride_0.4s,True,
eval_by_0.05,word_eval,0.7,0.55,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.7s\stride_0.55s,True,
eval_by_0.05,word_eval,0.7,0.5,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.7s\stride_0.5s,True,
eval_by_0.05,word_eval,0.7,0.65,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.7s\stride_0.65s,True,
eval_by_0.05,word_eval,0.7,0.6,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.7s\stride_0.6s,True,
eval_by_0.05,word_eval,0.7,0.7,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.7s\stride_0.7s,True,
eval_by_0.05,word_eval,0.8,0.45,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.8s\stride_0.45s,True,
eval_by_0.05,word_eval,0.8,0.4,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.8s\stride_0.4s,True,
