window_size,stride_value,stride_type,eval_type,combined_mean_iou,binary_f1,multiclass_f1,binary_accuracy,binary_precision,binary_recall,multiclass_accuracy,iou_by_class,individual_mean_iou,total_gt_words,path,window_dir,stride_dir
0.3,10.0,percentage,eval_percent,25.27,0.39,0.35,0.3861,0.4312,0.3069,,"{'เย็ด': 19.88, 'กู': 16.520000000000003, 'มึง': 27.41, 'เหี้ย': 37.24}",27.66,378,frame_level_evaluation_results\eval_percent\window_0.3s\stride_10.0%,window_0.3s,stride_10.0%
0.3,100.0,percentage,eval_percent,26.290000000000003,0.36,0.33,0.3639,0.3908,0.246,,"{'เย็ด': 23.169999999999998, 'กู': 19.27, 'มึง': 28.27, 'เหี้ย': 34.46}",22.470000000000002,378,frame_level_evaluation_results\eval_percent\window_0.3s\stride_100.0%,window_0.3s,stride_100.0%
0.3,20.0,percentage,eval_percent,26.02,0.38,0.36,0.3831,0.427,0.3016,,"{'เย็ด': 19.509999999999998, 'กู': 15.479999999999999, 'มึง': 27.400000000000002, 'เหี้ย': 41.71}",26.840000000000003,378,frame_level_evaluation_results\eval_percent\window_0.3s\stride_20.0%,window_0.3s,stride_20.0%
0.3,30.0,percentage,eval_percent,25.430000000000003,0.38,0.36,0.3831,0.4264,0.2989,,"{'เย็ด': 17.73, 'กู': 15.17, 'มึง': 29.34, 'เหี้ย': 39.489999999999995}",25.669999999999998,378,frame_level_evaluation_results\eval_percent\window_0.3s\stride_30.0%,window_0.3s,stride_30.0%
0.3,40.0,percentage,eval_percent,26.41,0.38,0.36,0.3757,0.416,0.2884,,"{'เย็ด': 19.64, 'กู': 15.73, 'มึง': 30.459999999999997, 'เหี้ย': 39.83}",25.319999999999997,378,frame_level_evaluation_results\eval_percent\window_0.3s\stride_40.0%,window_0.3s,stride_40.0%
0.3,50.0,percentage,eval_percent,27.33,0.38,0.35,0.3772,0.4163,0.2831,,"{'เย็ด': 17.79, 'กู': 17.09, 'มึง': 32.43, 'เหี้ย': 42.01}",25.96,378,frame_level_evaluation_results\eval_percent\window_0.3s\stride_50.0%,window_0.3s,stride_50.0%
0.3,60.0,percentage,eval_percent,26.31,0.37,0.35,0.3743,0.4125,0.2804,,"{'เย็ด': 20.57, 'กู': 15.43, 'มึง': 28.33, 'เหี้ย': 40.910000000000004}",24.45,378,frame_level_evaluation_results\eval_percent\window_0.3s\stride_60.0%,window_0.3s,stride_60.0%
0.3,70.0,percentage,eval_percent,26.97,0.37,0.34,0.3683,0.4047,0.2751,,"{'เย็ด': 18.509999999999998, 'กู': 19.139999999999997, 'มึง': 31.369999999999997, 'เหี้ย': 38.85}",23.23,378,frame_level_evaluation_results\eval_percent\window_0.3s\stride_70.0%,window_0.3s,stride_70.0%
0.3,80.0,percentage,eval_percent,29.82,0.37,0.36,0.3698,0.4032,0.2646,,"{'เย็ด': 23.91, 'กู': 19.98, 'มึง': 37.68, 'เหี้ย': 37.72}",23.9,378,frame_level_evaluation_results\eval_percent\window_0.3s\stride_80.0%,window_0.3s,stride_80.0%
0.3,90.0,percentage,eval_percent,27.62,0.36,0.35,0.3624,0.3891,0.246,,"{'เย็ด': 23.990000000000002, 'กู': 18.37, 'มึง': 31.86, 'เหี้ย': 36.26}",22.5,378,frame_level_evaluation_results\eval_percent\window_0.3s\stride_90.0%,window_0.3s,stride_90.0%
0.4,10.0,percentage,eval_percent,20.150000000000002,0.38,0.35,0.3802,0.4215,0.291,,"{'เย็ด': 18.4, 'กู': 12.15, 'มึง': 19.939999999999998, 'เหี้ย': 30.12}",25.81,378,frame_level_evaluation_results\eval_percent\window_0.4s\stride_10.0%,window_0.4s,stride_10.0%
0.4,100.0,percentage,eval_percent,27.750000000000004,0.36,0.35,0.358,0.3727,0.2169,,"{'เย็ด': 21.27, 'กู': 18.17, 'มึง': 33.56, 'เหี้ย': 38.0}",20.46,378,frame_level_evaluation_results\eval_percent\window_0.4s\stride_100.0%,window_0.4s,stride_100.0%
0.4,20.0,percentage,eval_percent,21.02,0.37,0.35,0.3698,0.4048,0.2698,,"{'เย็ด': 19.74, 'กู': 12.6, 'มึง': 21.72, 'เหี้ย': 30.03}",25.169999999999998,378,frame_level_evaluation_results\eval_percent\window_0.4s\stride_20.0%,window_0.4s,stride_20.0%
0.4,30.0,percentage,eval_percent,21.54,0.37,0.35,0.3728,0.4087,0.2725,,"{'เย็ด': 18.96, 'กู': 13.0, 'มึง': 22.14, 'เหี้ย': 32.04}",24.04,378,frame_level_evaluation_results\eval_percent\window_0.4s\stride_30.0%,window_0.4s,stride_30.0%
0.4,40.0,percentage,eval_percent,22.97,0.37,0.35,0.3669,0.3975,0.2566,,"{'เย็ด': 20.94, 'กู': 15.07, 'มึง': 26.26, 'เหี้ย': 29.599999999999998}",23.53,378,frame_level_evaluation_results\eval_percent\window_0.4s\stride_40.0%,window_0.4s,stride_40.0%
0.4,50.0,percentage,eval_percent,22.1,0.37,0.36,0.3743,0.4074,0.2619,,"{'เย็ด': 15.83, 'กู': 14.099999999999998, 'มึง': 29.439999999999998, 'เหี้ย': 29.049999999999997}",22.74,378,frame_level_evaluation_results\eval_percent\window_0.4s\stride_50.0%,window_0.4s,stride_50.0%
0.4,60.0,percentage,eval_percent,24.32,0.36,0.34,0.3624,0.3882,0.2434,,"{'เย็ด': 22.03, 'กู': 17.86, 'มึง': 24.19, 'เหี้ย': 33.19}",23.1,378,frame_level_evaluation_results\eval_percent\window_0.4s\stride_60.0%,window_0.4s,stride_60.0%
0.4,70.0,percentage,eval_percent,25.369999999999997,0.36,0.35,0.3624,0.3853,0.2354,,"{'เย็ด': 18.26, 'กู': 15.93, 'มึง': 32.09, 'เหี้ย': 35.21}",22.400000000000002,378,frame_level_evaluation_results\eval_percent\window_0.4s\stride_70.0%,window_0.4s,stride_70.0%
0.4,80.0,percentage,eval_percent,24.27,0.36,0.34,0.3595,0.3799,0.2302,,"{'เย็ด': 17.8, 'กู': 18.759999999999998, 'มึง': 25.509999999999998, 'เหี้ย': 35.02}",22.29,378,frame_level_evaluation_results\eval_percent\window_0.4s\stride_80.0%,window_0.4s,stride_80.0%
0.4,90.0,percentage,eval_percent,26.939999999999998,0.36,0.35,0.3609,0.3784,0.2222,,"{'เย็ด': 18.740000000000002, 'กู': 18.16, 'มึง': 38.34, 'เหี้ย': 32.54}",20.560000000000002,378,frame_level_evaluation_results\eval_percent\window_0.4s\stride_90.0%,window_0.4s,stride_90.0%
0.5,10.0,percentage,eval_percent,16.650000000000002,0.38,0.36,0.3787,0.418,0.2831,,"{'เย็ด': 9.8, 'กู': 10.93, 'มึง': 20.74, 'เหี้ย': 25.130000000000003}",23.61,378,frame_level_evaluation_results\eval_percent\window_0.5s\stride_10.0%,window_0.5s,stride_10.0%
0.5,100.0,percentage,eval_percent,23.61,0.35,0.34,0.3476,0.3401,0.1772,,"{'เย็ด': 18.47, 'กู': 15.98, 'มึง': 27.860000000000003, 'เหี้ย': 32.129999999999995}",19.580000000000002,378,frame_level_evaluation_results\eval_percent\window_0.5s\stride_100.0%,window_0.5s,stride_100.0%
0.5,20.0,percentage,eval_percent,17.630000000000003,0.38,0.36,0.3757,0.4113,0.2698,,"{'เย็ด': 13.819999999999999, 'กู': 11.28, 'มึง': 21.85, 'เหี้ย': 23.57}",23.72,378,frame_level_evaluation_results\eval_percent\window_0.5s\stride_20.0%,window_0.5s,stride_20.0%
0.5,30.0,percentage,eval_percent,17.93,0.37,0.35,0.3683,0.3975,0.2513,,"{'เย็ด': 13.0, 'กู': 12.72, 'มึง': 20.76, 'เหี้ย': 25.230000000000004}",21.88,378,frame_level_evaluation_results\eval_percent\window_0.5s\stride_30.0%,window_0.5s,stride_30.0%
0.5,40.0,percentage,eval_percent,17.01,0.37,0.35,0.3683,0.3966,0.2487,,"{'เย็ด': 13.43, 'กู': 12.4, 'มึง': 16.64, 'เหี้ย': 25.580000000000002}",21.05,378,frame_level_evaluation_results\eval_percent\window_0.5s\stride_40.0%,window_0.5s,stride_40.0%
0.5,50.0,percentage,eval_percent,18.490000000000002,0.36,0.34,0.358,0.3761,0.2249,,"{'เย็ด': 14.610000000000001, 'กู': 14.42, 'มึง': 20.849999999999998, 'เหี้ย': 24.09}",21.32,378,frame_level_evaluation_results\eval_percent\window_0.5s\stride_50.0%,window_0.5s,stride_50.0%
0.5,60.0,percentage,eval_percent,18.09,0.36,0.34,0.3609,0.3816,0.2302,,"{'เย็ด': 15.85, 'กู': 15.079999999999998, 'มึง': 13.719999999999999, 'เหี้ย': 27.71}",20.150000000000002,378,frame_level_evaluation_results\eval_percent\window_0.5s\stride_60.0%,window_0.5s,stride_60.0%
0.5,70.0,percentage,eval_percent,20.580000000000002,0.36,0.34,0.3595,0.3756,0.2196,,"{'เย็ด': 14.96, 'กู': 15.690000000000001, 'มึง': 24.29, 'เหี้ย': 27.38}",19.97,378,frame_level_evaluation_results\eval_percent\window_0.5s\stride_70.0%,window_0.5s,stride_70.0%
0.5,80.0,percentage,eval_percent,21.32,0.36,0.34,0.3595,0.3756,0.2196,,"{'เย็ด': 18.029999999999998, 'กู': 15.28, 'มึง': 21.07, 'เหี้ย': 30.880000000000003}",19.35,378,frame_level_evaluation_results\eval_percent\window_0.5s\stride_80.0%,window_0.5s,stride_80.0%
0.5,90.0,percentage,eval_percent,23.799999999999997,0.35,0.33,0.3462,0.3476,0.1931,,"{'เย็ด': 14.180000000000001, 'กู': 18.279999999999998, 'มึง': 27.450000000000003, 'เหี้ย': 35.28}",19.86,378,frame_level_evaluation_results\eval_percent\window_0.5s\stride_90.0%,window_0.5s,stride_90.0%
0.6,10.0,percentage,eval_percent,14.97,0.37,0.34,0.3728,0.408,0.2698,,"{'เย็ด': 12.34, 'กู': 11.469999999999999, 'มึง': 17.380000000000003, 'เหี้ย': 18.68}",23.0,378,frame_level_evaluation_results\eval_percent\window_0.6s\stride_10.0%,window_0.6s,stride_10.0%
0.6,100.0,percentage,eval_percent,20.599999999999998,0.34,0.34,0.3417,0.3086,0.1429,,"{'เย็ด': 15.709999999999999, 'กู': 14.399999999999999, 'มึง': 22.759999999999998, 'เหี้ย': 29.549999999999997}",18.16,378,frame_level_evaluation_results\eval_percent\window_0.6s\stride_100.0%,window_0.6s,stride_100.0%
0.6,20.0,percentage,eval_percent,14.56,0.36,0.34,0.3639,0.3908,0.246,,"{'เย็ด': 11.88, 'กู': 11.709999999999999, 'มึง': 16.03, 'เหี้ย': 18.61}",21.66,378,frame_level_evaluation_results\eval_percent\window_0.6s\stride_20.0%,window_0.6s,stride_20.0%
0.6,30.0,percentage,eval_percent,16.03,0.37,0.35,0.3654,0.3867,0.2302,,"{'เย็ด': 12.76, 'กู': 12.659999999999998, 'มึง': 18.82, 'เหี้ย': 19.88}",21.69,378,frame_level_evaluation_results\eval_percent\window_0.6s\stride_30.0%,window_0.6s,stride_30.0%
0.6,40.0,percentage,eval_percent,16.36,0.36,0.35,0.3609,0.3816,0.2302,,"{'เย็ด': 12.2, 'กู': 13.84, 'มึง': 17.8, 'เหี้ย': 21.6}",20.549999999999997,378,frame_level_evaluation_results\eval_percent\window_0.6s\stride_40.0%,window_0.6s,stride_40.0%
0.6,50.0,percentage,eval_percent,16.54,0.36,0.34,0.3565,0.3674,0.209,,"{'เย็ด': 13.780000000000001, 'กู': 14.7, 'มึง': 15.870000000000001, 'เหี้ย': 21.82}",18.62,378,frame_level_evaluation_results\eval_percent\window_0.6s\stride_50.0%,window_0.6s,stride_50.0%
0.6,60.0,percentage,eval_percent,18.54,0.35,0.34,0.3506,0.3498,0.1878,,"{'เย็ด': 16.6, 'กู': 15.370000000000001, 'มึง': 16.59, 'เหี้ย': 25.6}",20.8,378,frame_level_evaluation_results\eval_percent\window_0.6s\stride_60.0%,window_0.6s,stride_60.0%
0.6,70.0,percentage,eval_percent,19.23,0.35,0.34,0.3536,0.3532,0.1878,,"{'เย็ด': 11.16, 'กู': 15.989999999999998, 'มึง': 24.349999999999998, 'เหี้ย': 25.4}",18.759999999999998,378,frame_level_evaluation_results\eval_percent\window_0.6s\stride_70.0%,window_0.6s,stride_70.0%
0.6,80.0,percentage,eval_percent,21.14,0.34,0.33,0.3432,0.335,0.1772,,"{'เย็ด': 16.37, 'กู': 16.36, 'มึง': 24.27, 'เหี้ย': 27.55}",19.12,378,frame_level_evaluation_results\eval_percent\window_0.6s\stride_80.0%,window_0.6s,stride_80.0%
0.6,90.0,percentage,eval_percent,22.59,0.35,0.34,0.3491,0.3418,0.1772,,"{'เย็ด': 22.720000000000002, 'กู': 15.229999999999999, 'มึง': 22.830000000000002, 'เหี้ย': 29.599999999999998}",19.18,378,frame_level_evaluation_results\eval_percent\window_0.6s\stride_90.0%,window_0.6s,stride_90.0%
0.7,10.0,percentage,eval_percent,12.02,0.36,0.33,0.3639,0.3889,0.2407,,"{'เย็ด': 8.94, 'กู': 10.639999999999999, 'มึง': 11.63, 'เหี้ย': 16.869999999999997}",21.68,378,frame_level_evaluation_results\eval_percent\window_0.7s\stride_10.0%,window_0.7s,stride_10.0%
0.7,100.0,percentage,eval_percent,17.61,0.35,0.34,0.3491,0.3086,0.1323,,"{'เย็ด': 14.299999999999999, 'กู': 15.68, 'มึง': 10.67, 'เหี้ย': 29.78}",18.26,378,frame_level_evaluation_results\eval_percent\window_0.7s\stride_100.0%,window_0.7s,stride_100.0%
0.7,20.0,percentage,eval_percent,13.11,0.36,0.35,0.3609,0.3761,0.2169,,"{'เย็ด': 11.23, 'กู': 11.03, 'มึง': 12.620000000000001, 'เหี้ย': 17.549999999999997}",21.16,378,frame_level_evaluation_results\eval_percent\window_0.7s\stride_20.0%,window_0.7s,stride_20.0%
0.7,30.0,percentage,eval_percent,15.120000000000001,0.36,0.35,0.3565,0.3662,0.2063,,"{'เย็ด': 12.690000000000001, 'กู': 11.66, 'มึง': 17.46, 'เหี้ย': 18.67}",20.11,378,frame_level_evaluation_results\eval_percent\window_0.7s\stride_30.0%,window_0.7s,stride_30.0%
0.7,40.0,percentage,eval_percent,15.32,0.36,0.35,0.3639,0.3818,0.2222,,"{'เย็ด': 12.32, 'กู': 13.01, 'มึง': 16.84, 'เหี้ย': 19.11}",20.19,378,frame_level_evaluation_results\eval_percent\window_0.7s\stride_40.0%,window_0.7s,stride_40.0%
0.7,50.0,percentage,eval_percent,15.110000000000001,0.35,0.34,0.3521,0.3454,0.1772,,"{'เย็ด': 13.450000000000001, 'กู': 14.510000000000002, 'มึง': 11.379999999999999, 'เหี้ย': 21.099999999999998}",18.87,378,frame_level_evaluation_results\eval_percent\window_0.7s\stride_50.0%,window_0.7s,stride_50.0%
0.7,60.0,percentage,eval_percent,17.130000000000003,0.36,0.36,0.3639,0.366,0.1878,,"{'เย็ด': 13.669999999999998, 'กู': 13.4, 'มึง': 19.189999999999998, 'เหี้ย': 22.24}",18.57,378,frame_level_evaluation_results\eval_percent\window_0.7s\stride_60.0%,window_0.7s,stride_60.0%
0.7,70.0,percentage,eval_percent,17.14,0.35,0.34,0.3536,0.3487,0.1799,,"{'เย็ด': 18.77, 'กู': 13.54, 'มึง': 13.780000000000001, 'เหี้ย': 22.48}",17.48,378,frame_level_evaluation_results\eval_percent\window_0.7s\stride_70.0%,window_0.7s,stride_70.0%
0.7,80.0,percentage,eval_percent,18.92,0.36,0.34,0.3565,0.3459,0.1693,,"{'เย็ด': 15.73, 'กู': 13.61, 'มึง': 22.27, 'เหี้ย': 24.060000000000002}",17.71,378,frame_level_evaluation_results\eval_percent\window_0.7s\stride_80.0%,window_0.7s,stride_80.0%
0.7,90.0,percentage,eval_percent,18.84,0.35,0.34,0.3476,0.3158,0.1429,,"{'เย็ด': 18.27, 'กู': 14.95, 'มึง': 15.5, 'เหี้ย': 26.640000000000004}",17.61,378,frame_level_evaluation_results\eval_percent\window_0.7s\stride_90.0%,window_0.7s,stride_90.0%
0.8,10.0,percentage,eval_percent,11.67,0.36,0.34,0.3609,0.3784,0.2222,,"{'เย็ด': 9.49, 'กู': 10.27, 'มึง': 11.04, 'เหี้ย': 15.89}",21.47,378,frame_level_evaluation_results\eval_percent\window_0.8s\stride_10.0%,window_0.8s,stride_10.0%
0.8,100.0,percentage,eval_percent,16.37,0.35,0.34,0.3521,0.3193,0.1402,,"{'เย็ด': 12.879999999999999, 'กู': 14.540000000000001, 'มึง': 15.67, 'เหี้ย': 22.39}",17.01,378,frame_level_evaluation_results\eval_percent\window_0.8s\stride_100.0%,window_0.8s,stride_100.0%
0.8,20.0,percentage,eval_percent,12.72,0.36,0.34,0.358,0.3679,0.2063,,"{'เย็ด': 10.16, 'กู': 11.42, 'มึง': 12.520000000000001, 'เหี้ย': 16.75}",20.34,378,frame_level_evaluation_results\eval_percent\window_0.8s\stride_20.0%,window_0.8s,stride_20.0%
0.8,30.0,percentage,eval_percent,13.569999999999999,0.36,0.35,0.3595,0.3697,0.2063,,"{'เย็ด': 11.62, 'กู': 11.78, 'มึง': 14.069999999999999, 'เหี้ย': 16.82}",18.93,378,frame_level_evaluation_results\eval_percent\window_0.8s\stride_30.0%,window_0.8s,stride_30.0%
0.8,40.0,percentage,eval_percent,14.06,0.36,0.34,0.355,0.352,0.1825,,"{'เย็ด': 11.5, 'กู': 12.590000000000002, 'มึง': 14.580000000000002, 'เหี้ย': 17.57}",19.49,378,frame_level_evaluation_results\eval_percent\window_0.8s\stride_40.0%,window_0.8s,stride_40.0%
0.8,50.0,percentage,eval_percent,13.73,0.36,0.34,0.3595,0.3645,0.1958,,"{'เย็ด': 11.44, 'กู': 12.04, 'มึง': 13.700000000000001, 'เหี้ย': 17.740000000000002}",18.42,378,frame_level_evaluation_results\eval_percent\window_0.8s\stride_50.0%,window_0.8s,stride_50.0%
0.8,60.0,percentage,eval_percent,15.1,0.35,0.34,0.3476,0.3316,0.164,,"{'เย็ด': 14.44, 'กู': 12.65, 'มึง': 13.36, 'เหี้ย': 19.950000000000003}",18.27,378,frame_level_evaluation_results\eval_percent\window_0.8s\stride_60.0%,window_0.8s,stride_60.0%
0.8,70.0,percentage,eval_percent,16.29,0.36,0.35,0.355,0.3314,0.1508,,"{'เย็ด': 12.53, 'กู': 13.91, 'มึง': 15.28, 'เหี้ย': 23.45}",17.95,378,frame_level_evaluation_results\eval_percent\window_0.8s\stride_70.0%,window_0.8s,stride_70.0%
0.8,80.0,percentage,eval_percent,17.740000000000002,0.35,0.34,0.3491,0.311,0.1349,,"{'เย็ด': 13.07, 'กู': 14.46, 'มึง': 18.240000000000002, 'เหี้ย': 25.21}",17.4,378,frame_level_evaluation_results\eval_percent\window_0.8s\stride_80.0%,window_0.8s,stride_80.0%
0.8,90.0,percentage,eval_percent,22.009999999999998,0.36,0.36,0.3624,0.3354,0.1429,,"{'เย็ด': 33.94, 'กู': 14.729999999999999, 'มึง': 17.47, 'เหี้ย': 21.9}",16.21,378,frame_level_evaluation_results\eval_percent\window_0.8s\stride_90.0%,window_0.8s,stride_90.0%
0.9,10.0,percentage,eval_percent,10.97,0.37,0.35,0.3669,0.3853,0.2222,,"{'เย็ด': 9.17, 'กู': 10.100000000000001, 'มึง': 11.07, 'เหี้ย': 13.56}",19.72,378,frame_level_evaluation_results\eval_percent\window_0.9s\stride_10.0%,window_0.9s,stride_10.0%
0.9,100.0,percentage,eval_percent,16.32,0.35,0.34,0.3491,0.2877,0.1111,,"{'เย็ด': 12.8, 'กู': 13.07, 'มึง': 17.560000000000002, 'เหี้ย': 21.87}",16.18,378,frame_level_evaluation_results\eval_percent\window_0.9s\stride_100.0%,window_0.9s,stride_100.0%
0.9,20.0,percentage,eval_percent,11.379999999999999,0.36,0.34,0.3565,0.3649,0.2037,,"{'เย็ด': 10.7, 'กู': 10.51, 'มึง': 9.19, 'เหี้ย': 15.110000000000001}",19.25,378,frame_level_evaluation_results\eval_percent\window_0.9s\stride_20.0%,window_0.9s,stride_20.0%
0.9,30.0,percentage,eval_percent,11.959999999999999,0.36,0.35,0.3595,0.3604,0.1878,,"{'เย็ด': 10.59, 'กู': 10.549999999999999, 'มึง': 11.93, 'เหี้ย': 14.760000000000002}",18.23,378,frame_level_evaluation_results\eval_percent\window_0.9s\stride_30.0%,window_0.9s,stride_30.0%
0.9,40.0,percentage,eval_percent,11.76,0.35,0.34,0.3491,0.3418,0.1772,,"{'เย็ด': 9.83, 'กู': 10.67, 'มึง': 10.290000000000001, 'เหี้ย': 16.24}",17.94,378,frame_level_evaluation_results\eval_percent\window_0.9s\stride_40.0%,window_0.9s,stride_40.0%
0.9,50.0,percentage,eval_percent,13.8,0.35,0.34,0.3536,0.3405,0.1667,,"{'เย็ด': 11.73, 'กู': 12.7, 'มึง': 12.08, 'เหี้ย': 18.69}",17.630000000000003,378,frame_level_evaluation_results\eval_percent\window_0.9s\stride_50.0%,window_0.9s,stride_50.0%
0.9,60.0,percentage,eval_percent,13.459999999999999,0.35,0.34,0.3476,0.3179,0.1455,,"{'เย็ด': 9.790000000000001, 'กู': 12.809999999999999, 'มึง': 12.57, 'เหี้ย': 18.69}",16.220000000000002,378,frame_level_evaluation_results\eval_percent\window_0.9s\stride_60.0%,window_0.9s,stride_60.0%
0.9,70.0,percentage,eval_percent,14.67,0.35,0.34,0.3476,0.3158,0.1429,,"{'เย็ด': 11.27, 'กู': 15.040000000000001, 'มึง': 11.200000000000001, 'เหี้ย': 21.18}",16.950000000000003,378,frame_level_evaluation_results\eval_percent\window_0.9s\stride_70.0%,window_0.9s,stride_70.0%
0.9,80.0,percentage,eval_percent,14.099999999999998,0.36,0.35,0.358,0.3182,0.1296,,"{'เย็ด': 8.81, 'กู': 12.33, 'มึง': 13.96, 'เหี้ย': 21.3}",15.809999999999999,378,frame_level_evaluation_results\eval_percent\window_0.9s\stride_80.0%,window_0.9s,stride_80.0%
0.9,90.0,percentage,eval_percent,16.97,0.34,0.34,0.3447,0.2848,0.1138,,"{'เย็ด': 12.590000000000002, 'กู': 14.180000000000001, 'มึง': 20.07, 'เหี้ย': 21.05}",17.27,378,frame_level_evaluation_results\eval_percent\window_0.9s\stride_90.0%,window_0.9s,stride_90.0%
1.0,10.0,percentage,eval_percent,9.370000000000001,0.36,0.34,0.3609,0.375,0.2143,,"{'เย็ด': 7.8100000000000005, 'กู': 10.18, 'มึง': 7.8100000000000005, 'เหี้ย': 11.700000000000001}",19.52,378,frame_level_evaluation_results\eval_percent\window_1.0s\stride_10.0%,window_1.0s,stride_10.0%
1.0,100.0,percentage,eval_percent,14.829999999999998,0.36,0.35,0.3565,0.2857,0.1005,,"{'เย็ด': 6.72, 'กู': 14.64, 'มึง': 15.65, 'เหี้ย': 22.31}",15.909999999999998,378,frame_level_evaluation_results\eval_percent\window_1.0s\stride_100.0%,window_1.0s,stride_100.0%
1.0,20.0,percentage,eval_percent,10.440000000000001,0.35,0.34,0.3536,0.3518,0.1852,,"{'เย็ด': 8.709999999999999, 'กู': 10.68, 'มึง': 9.719999999999999, 'เหี้ย': 12.629999999999999}",20.380000000000003,378,frame_level_evaluation_results\eval_percent\window_1.0s\stride_20.0%,window_1.0s,stride_20.0%
1.0,30.0,percentage,eval_percent,10.440000000000001,0.36,0.34,0.3565,0.3492,0.1746,,"{'เย็ด': 10.02, 'กู': 10.290000000000001, 'มึง': 8.51, 'เหี้ย': 12.94}",17.89,378,frame_level_evaluation_results\eval_percent\window_1.0s\stride_30.0%,window_1.0s,stride_30.0%
1.0,40.0,percentage,eval_percent,11.600000000000001,0.36,0.34,0.355,0.3389,0.1614,,"{'เย็ด': 11.469999999999999, 'กู': 11.21, 'มึง': 9.92, 'เหี้ย': 13.8}",18.5,378,frame_level_evaluation_results\eval_percent\window_1.0s\stride_40.0%,window_1.0s,stride_40.0%
1.0,50.0,percentage,eval_percent,12.049999999999999,0.35,0.34,0.3521,0.3315,0.1561,,"{'เย็ด': 7.95, 'กู': 12.620000000000001, 'มึง': 11.19, 'เหี้ย': 16.43}",16.900000000000002,378,frame_level_evaluation_results\eval_percent\window_1.0s\stride_50.0%,window_1.0s,stride_50.0%
